Idx,t,x_pos,x_vel,y_pos,y_vel,z_pos,z_vel,laser_pwr,p_chamb,gassFlow,glassSenseVal,glassLedPwr
0,2023-08-01-12:08:48.861,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
1,2023-08-01-12:08:48.871,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
2,2023-08-01-12:08:48.881,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
3,2023-08-01-12:08:48.891,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
4,2023-08-01-12:08:48.901,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
5,2023-08-01-12:08:48.911,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
6,2023-08-01-12:08:48.921,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
7,2023-08-01-12:08:48.931,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
8,2023-08-01-12:08:48.941,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
9,2023-08-01-12:08:48.951,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
10,2023-08-01-12:08:48.961,98.62540,0.00200,79.99900,79.99900,29.99710,29.99710,0.00000,980.09998,0.00000,2944,41
11,2023-08-01-12:08:48.971,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
12,2023-08-01-12:08:48.981,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
13,2023-08-01-12:08:48.991,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
14,2023-08-01-12:08:49.001,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
15,2023-08-01-12:08:49.011,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
16,2023-08-01-12:08:49.021,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
17,2023-08-01-12:08:49.031,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
18,2023-08-01-12:08:49.041,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
19,2023-08-01-12:08:49.051,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
20,2023-08-01-12:08:49.061,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
21,2023-08-01-12:08:49.071,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
22,2023-08-01-12:08:49.081,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
23,2023-08-01-12:08:49.091,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
24,2023-08-01-12:08:49.101,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
25,2023-08-01-12:08:49.111,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
26,2023-08-01-12:08:49.121,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
27,2023-08-01-12:08:49.131,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
28,2023-08-01-12:08:49.141,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
29,2023-08-01-12:08:49.151,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
30,2023-08-01-12:08:49.161,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
31,2023-08-01-12:08:49.171,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
32,2023-08-01-12:08:49.181,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
33,2023-08-01-12:08:49.191,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
34,2023-08-01-12:08:49.201,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
35,2023-08-01-12:08:49.211,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
36,2023-08-01-12:08:49.221,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
37,2023-08-01-12:08:49.231,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
38,2023-08-01-12:08:49.241,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
39,2023-08-01-12:08:49.251,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
40,2023-08-01-12:08:49.261,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
41,2023-08-01-12:08:49.271,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
42,2023-08-01-12:08:49.281,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
43,2023-08-01-12:08:49.291,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
44,2023-08-01-12:08:49.301,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
45,2023-08-01-12:08:49.311,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
46,2023-08-01-12:08:49.321,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
47,2023-08-01-12:08:49.331,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
48,2023-08-01-12:08:49.341,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
49,2023-08-01-12:08:49.351,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2944,41
50,2023-08-01-12:08:49.361,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
51,2023-08-01-12:08:49.371,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
52,2023-08-01-12:08:49.381,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
53,2023-08-01-12:08:49.391,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2949,41
54,2023-08-01-12:08:49.401,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
55,2023-08-01-12:08:49.411,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
56,2023-08-01-12:08:49.421,98.62540,0.00200,79.99900,79.99900,29.99710,29.99710,0.00000,980.20001,0.00000,2955,41
57,2023-08-01-12:08:49.431,98.62540,0.00700,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
58,2023-08-01-12:08:49.441,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
59,2023-08-01-12:08:49.451,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
60,2023-08-01-12:08:49.461,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
61,2023-08-01-12:08:49.471,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
62,2023-08-01-12:08:49.481,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
63,2023-08-01-12:08:49.491,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
64,2023-08-01-12:08:49.501,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
65,2023-08-01-12:08:49.511,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
66,2023-08-01-12:08:49.521,98.62540,0.00100,79.99900,79.99900,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
67,2023-08-01-12:08:49.531,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
68,2023-08-01-12:08:49.541,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
69,2023-08-01-12:08:49.551,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
70,2023-08-01-12:08:49.561,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
71,2023-08-01-12:08:49.571,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
72,2023-08-01-12:08:49.581,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
73,2023-08-01-12:08:49.591,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
74,2023-08-01-12:08:49.601,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
75,2023-08-01-12:08:49.611,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
76,2023-08-01-12:08:49.621,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
77,2023-08-01-12:08:49.631,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
78,2023-08-01-12:08:49.641,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
79,2023-08-01-12:08:49.651,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
80,2023-08-01-12:08:49.661,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
81,2023-08-01-12:08:49.671,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
82,2023-08-01-12:08:49.681,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2944,41
83,2023-08-01-12:08:49.691,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
84,2023-08-01-12:08:49.701,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
85,2023-08-01-12:08:49.711,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2944,41
86,2023-08-01-12:08:49.721,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
87,2023-08-01-12:08:49.731,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
88,2023-08-01-12:08:49.741,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
89,2023-08-01-12:08:49.751,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
90,2023-08-01-12:08:49.761,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
91,2023-08-01-12:08:49.771,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
92,2023-08-01-12:08:49.781,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
93,2023-08-01-12:08:49.791,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
94,2023-08-01-12:08:49.801,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
95,2023-08-01-12:08:49.811,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
96,2023-08-01-12:08:49.821,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
97,2023-08-01-12:08:49.831,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
98,2023-08-01-12:08:49.841,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
99,2023-08-01-12:08:49.851,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
100,2023-08-01-12:08:49.861,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
101,2023-08-01-12:08:49.871,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
102,2023-08-01-12:08:49.881,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
103,2023-08-01-12:08:49.891,98.62540,0.00000,79.99900,79.99900,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
104,2023-08-01-12:08:49.901,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
105,2023-08-01-12:08:49.911,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
106,2023-08-01-12:08:49.921,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
107,2023-08-01-12:08:49.931,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
108,2023-08-01-12:08:49.941,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
109,2023-08-01-12:08:49.951,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
110,2023-08-01-12:08:49.961,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
111,2023-08-01-12:08:49.971,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
112,2023-08-01-12:08:49.981,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
113,2023-08-01-12:08:49.991,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
114,2023-08-01-12:08:50.001,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
115,2023-08-01-12:08:50.011,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
116,2023-08-01-12:08:50.021,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
117,2023-08-01-12:08:50.031,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
118,2023-08-01-12:08:50.041,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2944,41
119,2023-08-01-12:08:50.051,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
