Idx;t;x_pos;x_vel;y_pos;y_vel;z_pos;z_vel;laser_pwr;p_chamb;gassFlow;glassSenseVal;glassLedPwr
0;2023-08-02-07:34:57.978;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
1;2023-08-02-07:34:57.988;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
2;2023-08-02-07:34:57.998;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
3;2023-08-02-07:34:58.008;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
4;2023-08-02-07:34:58.018;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
5;2023-08-02-07:34:58.028;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2326;28
6;2023-08-02-07:34:58.038;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
7;2023-08-02-07:34:58.048;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2326;28
8;2023-08-02-07:34:58.058;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
9;2023-08-02-07:34:58.068;121.52570;0.00500;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
10;2023-08-02-07:34:58.078;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
11;2023-08-02-07:34:58.088;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
12;2023-08-02-07:34:58.098;121.52570;0.00900;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
13;2023-08-02-07:34:58.108;121.52570;0.00500;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
14;2023-08-02-07:34:58.118;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
15;2023-08-02-07:34:58.128;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
16;2023-08-02-07:34:58.138;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2326;28
17;2023-08-02-07:34:58.148;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
18;2023-08-02-07:34:58.158;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
19;2023-08-02-07:34:58.168;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
20;2023-08-02-07:34:58.178;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
21;2023-08-02-07:34:58.188;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
22;2023-08-02-07:34:58.198;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
